NEGERI,PPD,KODSEKOLAH,NAMASEKOLAH,NAMASEKOLAH_C,ALAMATSURAT,POSKODSURAT,BANDARSURAT,TARIKHTUBUHSEKOLAH,KOORDINATXX,KOORDINATYY
PERAK,PPD KINTA UTARA,ABC2115,SEKOLAH JENIS KEBANGSAAN (CINA) BERCHAM,怡保巴占华小,"LORONG 8, BERCHAM",31400,IPOH,1/9/1951,101.129044,4.637589
PERAK,PPD KINTA UTARA,ABC2116,SEKOLAH JENIS KEBANGSAAN (CINA) MIN SIN,怡保安邦明新华小,AMPANG BARU,31350,IPOH,1/11/1911,101.1258696,4.58634175
PERAK,PPD KINTA UTARA,ABC2117,SEKOLAH JENIS KEBANGSAAN (CINA) HING HWA,打扪兴华华小,"JALAN AMPANG, TAMBUN",31400,IPOH,1/1/1924,101.1397969,4.608087678
PERAK,PPD KINTA UTARA,ABC2118,SEKOLAH JENIS KEBANGSAAN (CINA) TAT CHOI,红毛丹达才华小,"7, JALAN MAJLIS",31250,TANJONG RAMBUTAN,11/5/1911,101.155666,4.671286
PERAK,PPD KINTA UTARA,ABC2119,SEKOLAH JENIS KEBANGSAAN (CINA) CHANGKAT KINDING,曾吉京丁华小,CHANGKAT KINDING,31250,TANJONG RAMBUTAN,1/1/1949,101.1522,4.69996
PERAK,PPD KINTA UTARA,ABC2120,SEKOLAH JENIS KEBANGSAAN (CINA) ST MICHAEL & ALL ANGELS,甘榜斗华圣美嘉华小,JALAN ST MICHAEL KG TAWAS,30010,IPOH,1/1/1930,101.098538,4.649858
PERAK,PPD KINTA UTARA,ABC2121,SEKOLAH JENIS KEBANGSAAN (CINA) KAMPUNG TAWAS,甘榜斗华华小,"LORONG TAWAS 29, KAMPUNG TAWAS",30010,IPOH,1/1/1952,101.0979528,4.64685887
PERAK,PPD KINTA UTARA,ABC2122,SEKOLAH JENIS KEBANGSAAN (CINA) PEI CHENG,珠宝培正华小,JALAN NANGKA,31200,CHEMOR,1/1/1926,101.1160197,4.720089163
PERAK,PPD KINTA UTARA,ABC2123,SEKOLAH JENIS KEBANGSAAN (CINA) KUALA KUANG,瓜拉光华小,KAMPUNG BARU KUALA KUANG,31200,CHEMOR,4/7/1952,101.10992,4.711121
PERAK,PPD KINTA UTARA,ABC2124,SEKOLAH JENIS KEBANGSAAN (CINA) TANAH HITAM,丹那依淡华小,TANAH HITAM,31200,CHEMOR,19/11/1951,101.1426762,4.726641009
